Estado,Estado_ID,centroid_lat,centroid_lon,Pertenece
Zacatecas,MX-ZAC,23.266402728925556,-102.70883077576353,True
Yucatán,MX-YUC,20.77975487977361,-88.92723715445902,True
Veracruz,MX-VER,19.351888556476144,-96.37801777863045,True
Tlaxcala,MX-TLA,19.452612666908163,-98.08348338266966,True
Tamaulipas,MX-TAM,24.30077862687684,-98.67450829679198,True
Tabasco,MX-TAB,17.932353054789374,-92.61872938850136,True
Sonora,MX-SON,29.68374802236036,-110.76155513945164,True
Sinaloa,MX-SIN,24.992580402339748,-107.49172630518635,True
San Luis Potosí,MX-SLP,22.6058425512418,-100.45159987496879,True
Quintana Roo,MX-ROO,19.670401478884255,-88.11847769340048,True
Querétaro,MX-QUE,20.840913424948265,-99.87768129146389,True
Puebla,MX-PUE,19.037534846475076,-97.81614027891499,True
Oaxaca,MX-OAX,16.95564409608874,-96.43862211932218,True
Nuevo León,MX-NLE,25.580238040610887,-99.99713330501811,True
Nayarit,MX-NAY,21.781655927057972,-104.85595821150758,True
Morelos,MX-MOR,18.732624499901622,-99.0070329859701,True
Michoacán,MX-MIC,19.199878786050032,-101.88463025759944,True
México,MX-MEX,19.340460141551407,-99.62728632931811,True
Jalisco,MX-JAL,20.55774279333335,-103.62772686449061,True
Hidalgo,MX-HID,20.483368232533508,-98.85774013982842,True
Guerrero,MX-GRO,17.66576725695185,-99.87870800507986,True
Guanajuato,MX-GUA,20.898353550791654,-101.0371986051402,True
Durango,MX-DUR,24.90190597292436,-104.98553597994648,True
Ciudad de México,MX-CMX,19.237818997766087,-99.08759136627413,True
Colima,MX-COL,19.140851537503874,-103.92173393311947,True
Coahuila,MX-COA,27.285353569253445,-102.09652052099382,True
Chihuahua,MX-CHH,28.818303774649284,-106.45407999394746,True
Chiapas,MX-CHP,16.49079861742077,-92.47573128635311,True
Campeche,MX-CAM,18.82907518347244,-90.30736084222919,True
Baja California Sur,MX-BCS,25.877732444933205,-112.02640171208616,True
Baja California,MX-BCN,30.520855238496132,-115.07942912914432,True
Aguascalientes,MX-AGU,21.97757291961334,-102.38394612242296,True
